dice,iou
0.9404745101928711,0.8876374959945679
0.5185390710830688,0.3500187397003174
0.1594386249780655,0.08662500232458115
0.708031177520752,0.5480250120162964
0.7412675619125366,0.5889000296592712
0.11591813713312149,0.061524998396635056
0.4344958961009979,0.2775437533855438
0.6954270601272583,0.5330687761306763
0.6544615030288696,0.4863937497138977
0.16686144471168518,0.09102500230073929
0.6593096256256104,0.4917687475681305
0.6064781546592712,0.43521249294281006
6.249999975026233e-13,6.249999975026233e-13
0.6278520226478577,0.4575687646865845
0.9973555207252502,0.9947249889373779
0.63468998670578,0.4648687541484833
0.5057830810546875,0.3384937644004822
0.5205458998680115,0.3518500030040741
0.6231821775436401,0.45262500643730164
0.94791179895401,0.9009812474250793
0.7929174304008484,0.6568874716758728
0.6702017188072205,0.5039874911308289
0.5393463373184204,0.36924999952316284
0.7127295136451721,0.5536749958992004
0.5177773833274841,0.3493250012397766
0.7392342686653137,0.5863375067710876
0.096699558198452,0.05080625042319298
0.7528402209281921,0.6036437749862671
0.6539691090583801,0.4858500063419342
0.9995466470718384,0.999093770980835
0.6927731037139893,0.5299562215805054
0.689931333065033,0.5266374945640564
0.7389361262321472,0.5859624743461609
0.5261742472648621,0.3570125102996826
0.3484638035297394,0.21099375188350677
0.9820652604103088,0.9647625088691711
0.7058523893356323,0.5454187393188477
0.752071738243103,0.6026562452316284
0.4027632176876068,0.25216248631477356
0.31545257568359375,0.18726250529289246
0.3384650647640228,0.20370624959468842
0.37778374552726746,0.23288124799728394
0.5892083048820496,0.4176437556743622
0.5482721924781799,0.37766873836517334
0.20651930570602417,0.11514999717473984
0.6935682892799377,0.5308874845504761
6.249999975026233e-13,6.249999975026233e-13
6.249999975026233e-13,6.249999975026233e-13
0.581767737865448,0.41020625829696655
0.6991288065910339,0.5374312400817871
0.6852971315383911,0.5212562680244446
0.6832684278488159,0.5189124941825867
0.7083649635314941,0.548425018787384
0.7026203274726868,0.5415687561035156
0.05543233081698418,0.02850624918937683
0.29152005910873413,0.17063124477863312
0.6229807138442993,0.452412486076355
0.37687039375305176,0.23218749463558197
