,precision,recall,f1-score,support
No Spill,0.889273356401384,0.9178571428571428,0.9033391915641477,560.0
Oil Spill,0.8270676691729323,0.7746478873239436,0.8,284.0
accuracy,0.8696682464454977,0.8696682464454977,0.8696682464454977,0.8696682464454977
macro avg,0.8581705127871582,0.8462525150905432,0.8516695957820739,844.0
weighted avg,0.8683415848695353,0.8696682464454977,0.8685662882416145,844.0
